City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,berezovyy,51.6667,135.7,1.08,63,84,0.47,RU,1698623746
110,pocatello,42.8713,-112.4455,3.95,37,0,1.54,US,1698623748
111,nagarpur,24.0533,89.874,22.44,87,21,1.65,BD,1698623750
112,avsallar,36.616,31.7806,23.05,50,96,1.33,TR,1698623753
113,steinkjer,64.193,11.3851,-6.48,74,100,1.17,NO,1698623755
114,chonchi,-42.6128,-73.8092,4.56,98,70,4.11,CL,1698623757
115,kollam,8.8833,76.6,25.25,85,100,1.59,IN,1698623760
116,nowy dwor gdanski,54.2131,19.1177,13.37,83,100,7.3,PL,1698623762
117,ilulissat,69.2167,-51.1,-3.99,80,100,2.06,GL,1698623765
118,vadso,70.0744,29.7487,-5.91,93,75,3.6,NO,1698623488
119,najran,17.4924,44.1277,19.36,52,80,1.13,SA,1698623769
120,port mathurin,-19.6833,63.4167,24.59,79,13,7.03,MU,1698623772
121,creswell,43.9179,-123.0245,13.78,59,0,1.37,US,1698623776
122,jeremie,18.65,-74.1167,27.42,80,90,0.69,HT,1698623781
123,east london,-33.0153,27.9116,14.53,65,100,5.79,ZA,1698623783
124,tura,25.5198,90.2201,19.01,94,10,1.23,IN,1698623785
125,acarau,-2.8856,-40.12,26.59,78,42,6.52,BR,1698623514
126,st. john's,47.5649,-52.7093,6.1,70,75,10.29,CA,1698623502
127,hamilton,39.1834,-84.5333,13.88,96,100,1.54,US,1698623792
128,xilin hot,43.9667,116.0333,0.38,41,37,1.53,CN,1698623795
129,khoyniki,51.8911,29.9552,8.4,88,84,4.19,BY,1698623799
130,yanbu,24.0891,38.0637,26.02,94,0,1.03,SA,1698623801
131,wailua homesteads,22.0669,-159.378,28.44,72,40,4.63,US,1698623804
132,shingu,33.7333,135.9833,17.29,58,0,0.93,JP,1698623806
133,lihue,21.9789,-159.3672,28.77,70,40,4.63,US,1698623808
134,brisas de zicatela,15.8369,-97.0419,27.62,82,17,2.66,MX,1698623811
135,roma,43.2128,-75.4557,7.12,93,100,3.6,US,1698623814
136,yinchuan,38.4681,106.2731,12.42,29,1,2.12,CN,1698623816
137,sodankyla,67.4167,26.6,-10.46,99,100,0.54,FI,1698623819
138,suva,-18.1416,178.4415,27.71,78,75,3.09,FJ,1698623821
139,camabatela,-8.1881,15.375,18.02,99,81,2.09,AO,1698623824
140,itoman,26.1247,127.6694,24.43,66,20,5.14,JP,1698623826
141,nantucket,41.2835,-70.0995,11.08,81,100,5.66,US,1698623828
142,yur'yevets,57.3201,43.1041,-1.94,85,100,6.42,RU,1698623831
143,souillac,-20.5167,57.5167,23.21,94,40,1.03,MU,1698623833
144,verkhnevilyuysk,63.4453,120.3167,-11.87,93,77,2.01,RU,1698623836
145,pagar alam,-4.0167,103.2667,21.97,53,94,0.48,ID,1698623838
146,umm kaddadah,13.6017,26.6876,27.74,15,12,4.52,SD,1698623840
147,lorengau,-2.0226,147.2712,25.69,89,100,5.28,PG,1698623843
148,okhotsk,59.3833,143.3,-4.79,76,17,3.64,RU,1698623845
149,saipan,15.1355,145.701,30.39,79,20,4.63,MP,1698623848
150,bilibino,68.0546,166.4372,-20.26,90,12,1.85,RU,1698623850
151,nuuk,64.1835,-51.7216,1.55,76,100,6.68,GL,1698623852
152,dalian,38.9122,121.6022,15.96,82,21,1.0,CN,1698623740
